label,offered_qps,run,idx,status,wall_s,queue_time_s,ttft_s,total_time_s,output_tps,prompt_tokens,cached_prompt_tokens,generated_tokens,preemptions
simple-baseline,3.0,1,21,200,1.992484499933198,1.71538,1.76918,1.99034,140.16779,63,0,32,0
simple-baseline,3.0,1,22,200,1.6081219580955803,1.31302,1.38467,1.60628,139.89072,65,0,32,0
simple-baseline,3.0,1,23,200,0.6885822089388967,0.39447,0.46578,0.68673,140.30392,66,0,32,0
simple-baseline,3.0,1,24,200,0.3732316249515861,0.09653,0.15053,0.37122,140.46349,64,0,32,0
simple-baseline,3.0,1,25,200,0.5873448750935495,0.2805,0.35239,0.58446,133.57823,65,0,32,0
simple-baseline,3.0,1,26,200,0.3452699580229819,0.00172,0.05733,0.33569,111.36778,62,0,32,0
simple-baseline,3.0,1,27,200,0.35466654086485505,0.00176,0.06085,0.34688,108.38051,62,0,32,0
simple-baseline,3.0,1,28,200,0.3528032910544425,0.00101,0.06095,0.34258,110.07075,64,0,32,0
simple-baseline,3.0,1,29,200,0.3862916249781847,0.00029,0.06682,0.3814,98.54667,65,0,32,0
simple-baseline,3.0,1,30,200,0.35360054206103086,0.00075,0.0556,0.34902,105.65216,63,0,32,0
simple-baseline,3.0,1,31,200,0.34967158315703273,0.00039,0.05735,0.3422,108.83214,63,0,32,0
simple-baseline,3.0,1,32,200,0.35222137509845197,0.00157,0.08085,0.33915,120.01583,65,0,32,0
simple-baseline,3.0,1,33,200,0.37482316605746746,0.0018,0.06471,0.35983,105.04098,63,0,32,0
simple-baseline,3.0,1,34,200,0.4090813749935478,0.00169,0.08978,0.38891,103.63348,65,0,32,0
simple-baseline,3.0,1,35,200,0.5677940410096198,0.19594,0.26831,0.55314,108.83739,66,0,32,0
simple-baseline,3.0,1,36,200,0.35824316600337625,0.00177,0.05983,0.34882,107.27222,64,0,32,0
simple-baseline,3.0,1,37,200,0.37910341704264283,0.00073,0.07373,0.37225,103.84562,65,0,32,0
simple-baseline,3.0,1,38,200,0.35599929210729897,0.00091,0.05593,0.34843,105.98384,62,0,32,0
simple-baseline,3.0,1,39,200,0.6505525000393391,0.28628,0.34002,0.63999,103.34492,62,0,32,0
simple-baseline,3.0,1,40,200,0.7561535001732409,0.38813,0.44279,0.74492,102.603,64,0,32,0
simple-baseline,3.0,1,41,200,0.5903850421309471,0.24815,0.31926,0.58604,116.2019,65,0,32,0
simple-baseline,3.0,1,42,200,0.9046013748738915,0.54298,0.5964,0.90012,102.07009,63,0,32,0
simple-baseline,3.0,1,43,200,0.6178733329288661,0.21869,0.27251,0.61088,91.61631,63,0,32,0
simple-baseline,3.0,1,44,200,0.5925229168497026,0.2569,0.33161,0.58719,121.29081,65,0,32,0
simple-baseline,3.0,1,45,200,0.876740749925375,0.52094,0.57422,0.87124,104.37135,63,0,32,0
